ingredient_name,inci_name,category,benefits,skin_type_suitable,safety_rating
Vitamin K1,,"Vitamin K1 is a fat-soluble vitamin known for its potential skin benefits, particularly in supporting the skin's healing and reducing the appearance of dark circles.","Vitamin K1 offers benefits such as:
- Supports the skin's natural healing processes, making it beneficial for individuals with post-procedure redness or bruises.
- Can help reduce the appearance of dark circles under the eyes, particularly those caused by blood vessels close to the skin's surface.
- Provides antioxidant benefits, helping to protect the skin from oxidative stress and environmental damage.","[' ', 'Anyone']",Safe
Vitamin E,,"Vitamin E is a fat-soluble antioxidant vitamin that plays a crucial role in protecting the skin from oxidative damage caused by free radicals and environmental stressors. In skincare, it is used for its antioxidant, moisturizing, and skin-nourishing properties.","Vitamin E offers benefits such as:
- Acts as a powerful antioxidant, helping to neutralize free radicals and protect the skin from environmental damage, such as UV rays and pollution.
- Supports the skin's natural repair processes, promoting a healthier and more resilient complexion.
- Assists in maintaining the skin's moisture balance, helping to prevent water loss and keep the skin well-hydrated.
- Can improve skin texture and elasticity, contributing to a smoother and more youthful appearance.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Texture']",Safe
Vitamin C,,A potent and multifunctional superstar skincare ingredient with decades of research behind it.,"Vitamin C promotes Collagen synthesis, so can help make the skin firmer. It also helps with hyperpigmentation, dark spots, and uneven skin tone as well as preventing damage from the sun by neutralising free radicals.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Vitamin B5,,"Vitamin B5, also known as panthenol, is a water-soluble vitamin that belongs to the B-complex family. In skincare, it is used for its potential hydrating, soothing, and skin-repairing properties.","Vitamin B5 offers benefits such as:
- Acts as an effective humectant, attracting and retaining moisture in the skin, helping to keep it well-hydrated and plump.
- Can improve skin barrier function, supporting a healthier and stronger skin barrier that helps protect against external aggressors.
- Assists in soothing and calming irritated or inflamed skin, making it beneficial for individuals with sensitive or reactive skin.
- Promotes skin repair and regeneration, contributing to a more revitalized and rejuvenated complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Vitamin A,,"Vitamin A represents the ingredient class of retinoids, consisting of retinol, retinaldehyde, retinoic acid, and other retinoid esters. It is one of the most well researched and versatile active ingredients in skincare, with decades of research behind it. ","This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which can naturally come with aging.  It exfoliates the skin, unclogging  pores, helping treat acne and blemishes and improving the overall appearance of the skin making it smooth and supple. ","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Vibrio Alginolyticus Ferment Filtrate,,"Vibrio alginolyticus ferment filtrate is a filtrate of the product obtained by the fermentation of a growth media by the microorganism, vibrio alginolyticus",Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Tea Tree Oil,,"Tea Tree Oil, also known as melaleuca oil, is a natural essential oil derived from the leaves of the tea tree plant (Melaleuca alternifolia). In skincare, it is used for its potential antibacterial, antifungal, and anti-inflammatory properties.","Tea tree oil offers benefits such as:
- Acts as a natural antibacterial agent, helping to combat acne-causing bacteria and prevent breakouts.
- Can help soothe and calm irritated or inflamed skin, making it beneficial for individuals with acne-prone or sensitive skin.
- Provides antifungal properties, which can be useful in addressing certain fungal skin infections.
- Assists in reducing redness and swelling associated with skin conditions, such as acne and minor skin irritations.","[' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Zinc Sulfate,,An antibacterial ingredient used in skincare.,"Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Anyone']",Safe
Zinc PCA,,"Zinc PCA is known to regulate sebum production, as well as inhibit the growth of the C. Acnes bacteria to improve acne symptoms.","Zinc salts such as zinc gluconate, zinc PCA and zinc sulphate are used for their anti-inflammatory and sebum regulating properties.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Redness']",Safe
Neoglucosamine,,"Neoglucosamine is a patented skincare ingredient derived from glucose, a simple sugar. It is chemically similar to glucosamine, a compound naturally found in the body.","Neoglucosamine offers benefits such as:
- Supports the skin's natural production of hyaluronic acid, contributing to increased hydration and improved skin elasticity.
- Enhances the overall skin barrier function, promoting a healthier and smoother complexion.","[' ', 'Blackheads', ' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Taurine,,"Taurine is an amino acid that’s naturally produced by your body and found in your brain, eyes, heart and muscles.",Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Sodium Ascorbyl Phosphate,,"A gentle, water soluble form of Vitamin C. ","Sodium ascorbyl phosphate helps brighten the skin, even tone, increases collagen products, fights free radicals, and has antimicrobial benefits.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance']",Safe
